ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,38.5,0.67,Animal 2_2HRS_078,51.72,55.86,165.15,83.01,145.37,106.98,100.9,48.16
111.0,111.0,2.99,0.05,Animal 2_2HRS_078,23.01,93.24,168.57,32.48,126.08,96.37,108.8,60.05
111.0,111.0,6.87,0.12,Animal 2_2HRS_078,0.49,88.57,197.24,2.43,138.8,98.8,112.36,74.41
111.0,111.0,21.9,0.38,Animal 2_2HRS_078,75.72,102.02,178.82,102.08,108.24,136.45,93.16,54.41
111.0,111.0,9.99,0.17,Animal 2_2HRS_079,49.69,116.05,160.49,61.83,67.11,126.77,99.65,34.21
111.0,111.0,-23.85,-0.42,Animal 2_2HRS_079,48.01,134.96,163.27,77.03,170.73,107.86,101.96,59.07
111.0,111.0,-6.76,-0.12,Animal 2_2HRS_079,47.88,140.03,153.6,70.68,64.28,131.99,85.79,32.87
111.0,111.0,-34.87,-0.61,Animal 2_2HRS_079,40.64,170.37,197.49,53.74,0.06,107.6,107.4,0.32
111.0,111.0,-49.55,-0.86,Animal 2_2HRS_080,34.75,147.61,132.15,50.45,115.3,96.6,88.66,43.92
111.0,111.0,-35.63,-0.62,Animal 2_2HRS_080,1.85,170.91,196.73,8.66,111.58,100.55,98.55,42.3
111.0,111.0,13.3,0.23,Animal 2_2HRS_080,0.93,86.94,186.79,6.07,2.26,105.98,106.24,20.7
111.0,111.0,-21.99,-0.38,Animal 2_2HRS_080,49.04,135.5,175.19,80.34,131.9,109.04,109.68,45.35
111.0,111.0,-57.03,-1.0,Animal 2_2HRS_083,58.09,174.05,143.85,89.67,114.11,124.04,111.41,40.87
111.0,111.0,-46.47,-0.81,Animal 2_2HRS_083,52.1,178.41,185.57,99.66,219.94,104.09,114.97,67.51
111.0,111.0,-50.19,-0.88,Animal 2_2HRS_084,0.45,212.62,184.18,2.54,124.43,123.48,109.88,47.71
111.0,111.0,-19.96,-0.35,Animal 2_2HRS_084,50.6,163.46,172.19,57.45,147.75,138.52,103.51,48.43
111.0,111.0,42.03,0.73,Animal 2_2HRS_084,2.95,4.32,209.13,8.9,100.18,99.19,103.86,41.17
111.0,111.0,-25.86,-0.45,Animal 2_4HRS_001,45.5,139.39,171.5,62.12,122.34,110.55,112.0,42.3
111.0,111.0,20.86,0.36,Animal 2_4HRS_001,52.74,83.91,187.79,73.85,154.51,112.42,112.97,50.15
111.0,111.0,-7.25,-0.13,Animal 2_4HRS_001,66.38,126.54,188.14,67.47,226.54,116.14,106.34,61.88
111.0,111.0,30.98,0.54,Animal 2_4HRS_003,30.19,78.99,149.1,48.21,94.4,101.26,112.0,38.67
111.0,111.0,11.42,0.2,Animal 2_4HRS_003,40.04,85.74,193.06,69.3,2.97,101.0,117.5,27.31
111.0,111.0,82.07,1.43,Animal 2_4HRS_003,20.91,48.28,115.85,35.78,97.76,111.23,107.08,39.65
111.0,111.0,34.54,0.6,Animal 2_4HRS_003,48.97,62.49,200.23,55.66,153.91,115.58,123.12,53.15
111.0,111.0,-43.98,-0.77,Animal 2_4HRS_008,5.18,210.7,209.08,12.56,133.33,112.63,107.45,47.19
111.0,111.0,16.96,0.3,Animal 2_4HRS_008,62.95,69.94,156.87,106.23,168.77,93.67,79.07,49.91
111.0,111.0,-27.88,-0.49,Animal 2_4HRS_011,0.17,170.4,219.4,1.58,133.42,111.88,108.78,47.99
111.0,111.0,77.23,1.35,Animal 2_4HRS_013,11.29,33.16,119.89,23.41,88.65,116.03,101.1,39.72
111.0,111.0,55.92,0.98,Animal 2_4HRS_013,10.63,58.15,142.72,26.66,124.14,125.8,96.95,46.23
111.0,111.0,84.56,1.48,Animal 2_4HRS_013,38.89,77.48,113.69,47.5,91.89,140.83,107.66,36.75
111.0,111.0,8.86,0.15,Animal 2_4HRS_014,0.16,79.5,180.07,1.19,97.09,91.1,105.67,39.44
