Experiment,Orientation Angle,Standard_error,Time,p_value,z_score
exp-1,35,0.06710685454600551,2hrs,0.002634873617818445,2.7900649287886083
exp-1,35,0.06526867548832288,4hrs,9.669950618018675e-09,5.61780461949571
exp-1,35,0.0617261135147201,6hrs,0.0001074626648988053,3.700794680036738
exp-1,40,0.06614240195165266,2hrs,0.011012711227083027,2.28992917853226
exp-1,40,0.06324555320336758,4hrs,6.783668610177429e-07,4.831257536368358
exp-1,40,0.059028079740881825,6hrs,1.4804739987495097e-05,4.176449223148912
exp-1,45,0.06416679512753394,2hrs,0.002664875937720801,2.786397208070289
exp-1,45,0.0620506065867029,4hrs,1.9913100601787193e-07,5.0697865925576115
exp-1,45,0.05659710947657912,6hrs,1.8257115803610446e-06,4.6302965987550575
exp-1,50,0.06039263404977174,2hrs,0.007279930173682669,2.4431456387144386
exp-1,50,0.05990965420252955,4hrs,1.4103677625776356e-07,5.135046980055838
exp-1,50,0.052258600233617315,6hrs,1.3146831053245656e-05,4.203398899091664
exp-1,55,0.05685331076692333,2hrs,0.035474372440745694,1.8058053795954212
exp-1,55,0.057503623074260865,4hrs,5.193757646182462e-09,5.724276994539578
exp-1,55,0.04687798487380331,6hrs,6.7882711339839474e-06,4.350600158477029
exp-1,60,0.053378352468575495,2hrs,0.014630007775285447,2.179965546382312
exp-1,60,0.055948885402461575,4hrs,2.9198330420143748e-09,5.821285662825999
exp-1,60,0.04197353976741937,6hrs,1.2867996119769742e-06,4.702210538979429
exp-3,35,0.07965179776239685,2hrs,0.07436020365469176,1.4440660127800184
exp-3,35,0.07498264921170934,4hrs,0.043335498397978234,1.713225855053916
exp-3,35,0.0830722410436699,6hrs,0.011421278576662197,2.27605768702726
exp-3,40,0.07850686719788597,2hrs,0.057107118296363835,1.5795313280668677
exp-3,40,0.07358133124174011,4hrs,0.08866991676720459,1.3489910727652354
exp-3,40,0.08373901179157973,6hrs,0.02057395649510796,2.042036478606057
exp-3,45,0.07730241105763631,2hrs,0.05392961975161181,1.6078901499988332
exp-3,45,0.07080366899958279,4hrs,0.06852364347636808,1.486877048991238
exp-3,45,0.08236939172154305,6hrs,0.023218647901846468,1.9913966632321412
exp-3,50,0.07325128032423665,2hrs,0.015023531514901434,2.169469427022706
exp-3,50,0.06807633575172689,4hrs,0.0430976589826898,1.7158182220116762
exp-3,50,0.07827821447220344,6hrs,0.03673210006285321,1.7899360032035034
exp-3,55,0.06965729958904301,2hrs,0.015196072000222438,2.164941781425973
exp-3,55,0.06551199575056474,4hrs,0.09469841278351487,1.3123655475794507
exp-3,55,0.07590087204991146,6hrs,0.032990240688299255,1.8385562488281437
exp-3,60,0.06569859331646904,2hrs,0.020584790702638966,2.0418180671900954
exp-3,60,0.06244296669460983,4hrs,0.05417252710836362,1.605676286432824
exp-3,60,0.07170510521242679,6hrs,0.03166685940274516,1.8568414204505124
